År,15-19 ,20-24 ,25-29 ,30-34 ,35-39 ,40-44 ,45-49 ,"Summerad
fruktsamhet2"
1911,19.2,116.5,172.5,167.9,140.0,71.9,9.0,3485.0
1912,19.9,116.8,168.5,165.2,136.5,72.1,8.7,3438.5
1913,19.4,114.9,163.7,158.1,131.5,69.4,7.7,3323.5
1914,20.5,113.4,160.9,155.2,125.8,68.7,7.2,3258.5
1915,18.5,105.3,151.5,145.6,119.3,64.5,7.6,3061.5
1916,16.6,103.5,148.9,144.4,114.6,62.3,7.4,2988.5
1917,16.5,101.9,146.2,139.3,112.1,61.0,7.5,2922.5
1918,15.1,99.3,142.4,135.6,108.4,58.4,7.5,2833.5
1919,14.3,99.0,141.4,130.3,102.5,52.1,6.6,2731.0
1920,22.1,123.2,164.2,150.5,117.4,60.2,7.3,3224.5
1921,20.3,112.9,149.7,134.8,107.2,54.6,6.9,2932.0
1922,18.3,98.7,136.0,123.6,97.5,50.5,6.5,2655.5
1923,17.3,94.4,131.6,119.4,93.2,48.1,5.9,2549.5
1924,16.5,90.7,124.1,114.4,88.3,45.6,5.8,2427.0
1925,17.2,90.0,120.3,109.8,82.2,42.3,5.2,2335.0
1926,17.2,85.4,114.6,103.3,78.1,40.3,4.7,2218.0
1927,17.5,83.4,108.4,96.9,74.4,36.2,4.5,2106.5
1928,18.2,83.6,106.7,96.6,71.1,35.7,4.5,2082.0
1929,18.0,79.6,101.0,89.5,65.7,32.4,3.8,1950.0
1930,17.0,81.9,103.3,91.9,69.7,33.3,4.0,2005.5
1931,18.2,79.9,98.6,85.8,60.9,28.5,3.5,1875.5
1932,18.4,78.5,96.5,83.6,58.6,27.3,3.0,1829.5
1933,17.2,73.4,91.4,78.2,54.6,25.5,3.0,1716.5
1934,17.7,73.4,89.6,78.6,54.0,24.6,2.9,1704.0
1935,17.4,76.0,91.3,77.9,52.6,22.7,2.5,1702.0
1936,17.3,78.5,94.7,81.5,53.1,22.9,2.6,1753.0
1937,18.2,80.2,97.4,81.5,52.9,22.2,2.2,1773.0
1938,19.8,84.3,100.7,84.2,53.9,21.9,2.2,1835.0
1939,22.36,86.83,105.05,86.23,54.71,21.76,2.35,1897.0
1940,22.05,88.36,104.22,82.59,52.39,20.6,2.08,1862.0
1941,21.21,91.51,109.62,85.44,54.19,20.52,1.72,1920.5
1942,20.99,99.85,126.44,101.99,63.65,22.65,2.17,2189.5
1943,24.56,111.49,137.74,112.77,69.7,24.26,2.0,2413.0
1944,29.59,123.89,147.62,120.0,73.67,25.2,1.96,2610.0
1945,32.63,127.0,149.36,117.45,72.23,25.41,1.8,2629.5
1946,33.8,126.89,145.96,113.18,69.04,24.54,2.07,2577.5
1947,35.29,128.64,141.25,106.38,65.08,23.39,2.0,2510.5
1948,36.88,129.0,138.76,103.79,62.47,23.17,1.87,2480.5
1949,37.61,125.56,136.1,98.31,59.23,20.89,1.8,2397.5
1950,38.95,126.01,128.04,93.62,54.85,18.33,1.51,2306.5
1951,38.28,123.19,125.04,88.8,50.11,17.25,1.5,2221.0
1952,37.77,127.51,128.12,87.84,48.85,16.74,1.37,2241.0
1953,38.57,129.8,131.29,86.99,48.59,16.3,1.22,2264.0
1954,36.84,127.2,125.49,85.45,45.79,14.93,1.19,2184.5
1955,37.8,133.5,131.7,85.1,45.4,14.3,1.3,2245.5
1956,38.8,134.6,135.5,87.2,45.1,13.9,1.0,2280.5
1957,38.4,133.7,136.8,86.9,44.4,13.6,1.0,2274.0
1958,36.5,132.7,137.6,85.8,42.4,12.9,0.9,2244.0
1959,35.7,133.1,138.1,84.6,40.9,12.1,1.0,2227.5
1960,34.5,128.7,136.7,82.6,38.9,12.2,0.8,2172.0
1961,36.4,130.8,140.0,83.7,39.3,11.4,0.9,2212.5
1962,39.6,133.5,141.8,84.3,38.3,11.0,0.7,2246.0
1963,42.0,136.1,149.5,87.2,39.1,10.7,0.8,2327.0
1964,47.2,143.1,159.1,93.4,40.7,10.6,0.6,2474.0
1965,48.6,140.9,154.0,89.3,39.3,9.9,0.7,2413.5
1966,50.2,139.1,149.9,86.6,37.8,9.1,0.7,2367.0
1967,47.9,135.5,146.0,82.0,35.4,8.6,0.6,2280.0
1968,41.3,124.8,135.5,76.2,31.9,7.2,0.3,2086.0
1969,34.9,117.3,129.0,71.7,28.2,6.9,0.4,1942.0
1970,33.9,120.3,129.4,70.0,27.4,6.1,0.4,1937.5
1971,34.6,125.8,132.8,69.9,26.4,5.7,0.3,1977.5
1972,33.6,124.1,130.3,67.5,24.4,5.2,0.2,1926.5
1973,31.1,121.6,128.5,66.6,23.4,4.4,0.3,1879.5
1974,32.0,122.6,128.4,67.0,22.9,4.4,0.2,1887.5
1975,28.8,115.0,123.3,64.1,20.7,3.7,0.2,1779.0
1976,25.0,107.1,118.8,62.4,20.5,3.6,0.2,1688.0
1977,22.1,103.6,117.9,61.5,20.7,3.6,0.2,1648.0
1978,19.2,97.1,116.0,62.4,21.6,3.7,0.1,1600.5
1979,17.3,95.5,122.7,67.1,24.4,4.3,0.2,1657.5
1980,15.8,95.6,124.2,70.7,24.9,4.3,0.2,1678.5
1981,14.5,90.3,120.6,71.7,24.8,4.4,0.2,1632.5
1982,13.2,86.1,120.9,73.0,25.5,4.6,0.2,1617.5
1983,11.7,83.0,121.5,74.7,26.1,4.7,0.2,1609.5
1984,10.7,80.3,125.8,79.9,28.1,5.4,0.2,1652.0
1985,11.0,81.8,131.8,85.9,30.3,5.6,0.2,1733.0
1986,11.3,83.4,136.4,89.8,31.9,5.7,0.2,1793.5
1987,10.9,84.3,138.7,95.0,32.7,5.8,0.2,1838.0
1988,11.4,90.5,147.2,100.4,36.3,6.0,0.3,1960.5
1989,12.7,92.8,149.0,103.4,38.7,6.4,0.3,2016.5
1990,14.1,98.6,155.6,110.3,41.4,7.0,0.3,2136.5
1991,13.1,94.0,154.1,111.9,42.8,7.2,0.3,2117.0
1992,11.8,90.2,151.5,112.7,44.1,7.3,0.3,2089.5
1993,11.0,82.1,145.5,109.7,43.3,7.5,0.2,1996.5
1994,9.6,73.8,138.7,105.0,43.1,7.4,0.3,1889.5
1995,8.6,66.3,125.69,99.05,40.62,7.09,0.24,1738.0
1996,7.71,58.47,115.38,93.43,38.85,7.05,0.26,1606.0
1997,7.2,54.61,108.86,90.58,37.66,7.05,0.25,1532.0
1998,6.5,50.1,105.0,92.7,40.3,7.3,0.3,1510.9
1999,6.8,48.1,103.6,93.0,41.4,7.5,0.3,1503.2
2000,7.1,47.3,106.7,97.3,43.1,7.7,0.3,1547.4
2001,6.6,46.7,104.3,102.4,45.4,8.2,0.3,1570.0
2002,6.6,47.7,109.2,110.7,47.3,8.9,0.3,1653.1
2003,6.0,47.1,111.3,118.1,51.1,9.6,0.4,1717.3
2004,6.1,46.6,111.1,122.3,53.5,10.4,0.4,1751.9
2005,6.2,46.6,109.5,124.9,55.9,10.3,0.5,1769.1
2006,6.2,47.8,113.6,131.5,60.0,11.2,0.5,1853.7
2007,6.1,50.0,112.4,132.2,62.4,12.1,0.6,1879.1
2008,6.0,51.6,114.4,132.9,63.7,12.1,0.6,1906.8
2009,5.8,51.0,115.0,134.9,66.7,13.0,0.7,1935.4
2010,5.7,51.3,118.2,138.0,69.4,13.6,0.8,1984.9
2011,5.5,48.5,112.2,131.7,67.8,13.8,0.7,1901.3
2012,5.0,47.6,112.5,133.1,68.0,13.9,0.9,1905.5
2013,4.94,45.59,111.51,132.79,68.06,13.93,0.84,1888.31
2014,4.73,43.81,113.18,131.17,67.77,14.59,0.88,1880.64
2015,4.3,42.541,112.249,127.966,67.519,14.217,0.948,1848.703
2016,4.4,41.816,112.141,127.161,69.014,15.189,0.961,1853.416
2017,4.283,39.429,105.689,122.806,67.155,15.305,0.98,1778.77
2018,4.199,38.833,103.82,121.708,66.122,14.574,0.94,1751.514
2019,3.416,36.805,99.688,118.734,65.655,15.323,1.193,1704.641
2020,2.878,33.919,97.687,117.631,64.498,14.991,1.06,1663.852
2021,2.471,31.85,94.87,122.168,65.961,15.481,0.928,1668.903
2022,1.999,28.208,87.058,110.429,60.398,14.774,1.159,1520.856
