Age,Year,"Medelinkomst, tkr","Medianinkomst, tkr","Totalsumma, mnkr",Antal personer
20-24,1991,94.3,102.4,55782.7,591351
20-24,1992,92.2,100.8,53649.9,581888
20-24,1993,88.2,92.9,51088.6,579466
20-24,1994,84.9,84.6,49653.5,585109
20-24,1995,86.5,83.6,50176.7,580171
20-24,1996,82.8,71.5,46828.6,565649
20-24,1997,80.6,63.2,44285.7,549462
20-24,1998,85.2,67.9,45432.5,533317
20-24,1999,90.0,73.6,46834.0,520371
20-24,2000,96.4,79.4,49818.4,516722
20-24,2001,101.5,85.3,52345.7,515635
20-24,2002,102.3,84.6,52902.5,517004
20-24,2003,102.7,87.2,53428.4,520017
20-24,2004,101.5,83.3,52990.8,522312
20-24,2005,102.6,83.7,54085.8,527268
20-24,2006,108.8,89.5,58935.9,541577
20-24,2007,117.0,96.7,65229.4,557526
20-24,2008,121.2,98.5,70320.9,580335
20-24,2009,110.4,85.1,66847.5,605453
20-24,2010,110.2,83.6,69628.5,632016
20-24,2011,121.0,93.7,78733.6,650862
20-24,2012,126.2,97.1,84189.5,667153
20-24,2013,127.9,98.7,85947.8,671940
20-24,2014,132.6,104.5,89058.5,671529
20-24,2015,142.2,117.3,93348.3,656448
20-24,2016,149.8,127.0,95895.7,640179
20-24,2017,156.8,134.7,96730.1,616919
20-24,2018,162.7,140.1,97245.6,597593
20-24,2019,162.0,135.8,95234.9,587699
20-24,2020,155.8,124.5,90295.2,579464
20-24,2021,165.8,137.1,95849.4,578215
20-24,2022,181.9,157.9,106511.4,585492
25-29,1991,124.5,129.0,79006.2,634718
25-29,1992,125.9,132.5,81611.9,648114
25-29,1993,128.5,135.7,83466.7,649533
25-29,1994,131.6,137.9,83765.9,636698
25-29,1995,136.1,142.3,84522.6,620877
25-29,1996,138.7,145.4,84453.3,609045
25-29,1997,141.6,148.3,84687.5,597992
25-29,1998,148.7,155.5,88132.8,592883
25-29,1999,155.2,162.6,92354.1,595159
25-29,2000,164.3,170.9,97281.3,592158
25-29,2001,171.4,178.3,99587.9,580924
25-29,2002,172.7,181.1,98230.0,568748
25-29,2003,172.1,181.8,95677.4,555951
25-29,2004,170.6,180.5,93123.4,545719
25-29,2005,171.8,180.9,93485.4,544061
25-29,2006,177.0,186.2,96965.7,547734
25-29,2007,184.4,193.8,102230.1,554452
25-29,2008,190.7,201.6,107329.6,562889
25-29,2009,184.2,192.3,105297.2,571759
25-29,2010,184.7,189.7,107462.4,581923
25-29,2011,194.5,201.9,115751.5,595136
25-29,2012,201.7,209.9,122822.7,609060
25-29,2013,205.5,213.2,129749.0,631255
25-29,2014,210.8,218.9,138208.3,655755
25-29,2015,221.0,230.7,150819.8,682413
25-29,2016,229.9,241.8,163613.6,711687
25-29,2017,239.2,252.4,175606.0,734003
25-29,2018,249.4,263.5,184920.4,741322
25-29,2019,256.8,272.3,189936.6,739696
25-29,2020,258.4,275.8,185457.2,717759
25-29,2021,270.3,284.9,187111.4,692315
25-29,2022,286.1,301.7,190760.6,666652
30-34,1991,139.1,136.4,80066.5,575758
30-34,1992,141.0,139.8,81488.4,578063
30-34,1993,145.0,144.3,85473.2,589279
30-34,1994,149.6,147.0,91542.5,611780
30-34,1995,155.5,152.4,98050.2,630745
30-34,1996,161.6,159.1,104516.5,646933
30-34,1997,168.7,166.2,111028.8,658337
30-34,1998,178.1,174.4,117102.8,657571
30-34,1999,187.1,182.7,120027.2,641382
30-34,2000,198.3,191.8,124489.0,627790
30-34,2001,208.0,201.1,128775.2,619126
30-34,2002,212.5,207.8,129990.8,611611
30-34,2003,215.1,212.3,131022.0,609103
30-34,2004,218.6,216.5,133944.9,612637
30-34,2005,223.5,220.8,136385.0,610276
30-34,2006,229.7,227.5,138263.8,602045
30-34,2007,238.5,237.0,141498.1,593201
30-34,2008,245.9,246.8,143915.1,585237
30-34,2009,242.1,247.3,140458.3,580069
30-34,2010,244.4,250.3,142231.4,581869
30-34,2011,254.3,259.8,148792.5,585111
30-34,2012,261.0,267.2,154358.3,591487
30-34,2013,264.0,271.4,158378.1,599989
30-34,2014,268.2,275.6,163413.9,609378
30-34,2015,276.2,283.9,170981.2,619071
30-34,2016,283.4,292.5,181703.1,641176
30-34,2017,291.3,300.8,192990.1,662493
30-34,2018,301.7,310.7,208186.4,690141
30-34,2019,310.6,319.9,222381.7,715891
30-34,2020,316.9,325.8,234464.2,739949
30-34,2021,330.7,337.3,251947.9,761808
30-34,2022,349.3,354.2,272712.9,780804
35-39,1991,151.0,143.7,88618.5,586710
35-39,1992,153.4,147.2,89967.4,586314
35-39,1993,157.7,151.5,92332.2,585391
35-39,1994,162.9,154.5,96050.6,589654
35-39,1995,167.5,159.0,98227.6,586388
35-39,1996,174.2,166.0,101605.5,583167
35-39,1997,181.0,172.1,105791.5,584485
35-39,1998,190.4,179.5,112934.4,593246
35-39,1999,200.2,187.6,122447.9,611618
35-39,2000,213.6,197.2,134988.3,632088
35-39,2001,224.9,207.7,146403.2,651070
35-39,2002,232.3,217.0,154473.0,664918
35-39,2003,236.8,223.2,157707.1,665896
35-39,2004,242.9,229.4,158138.6,651152
35-39,2005,250.2,235.4,159627.8,638015
35-39,2006,258.7,243.9,163368.6,631447
35-39,2007,269.6,254.3,168921.5,626492
35-39,2008,280.8,266.3,175965.6,626711
35-39,2009,281.8,270.8,178826.6,634498
35-39,2010,287.9,277.4,182518.7,633882
35-39,2011,299.7,287.2,187565.5,625948
35-39,2012,307.8,296.5,189872.1,616777
35-39,2013,312.1,302.4,190018.2,608912
35-39,2014,316.9,308.4,191495.0,604368
35-39,2015,324.2,316.5,197327.5,608570
35-39,2016,332.2,325.6,205057.0,617317
35-39,2017,339.3,333.8,213141.8,628193
35-39,2018,348.7,342.6,223186.1,640119
35-39,2019,356.2,349.6,231735.8,650598
35-39,2020,361.6,354.2,238173.0,658730
35-39,2021,374.6,365.7,253219.3,675978
35-39,2022,391.5,380.6,271917.1,694512
